NOM;CODI;DATA;SEXE;GRUP_EDAT;RESIDENCIA;CASOS_CONFIRMAT;PCR;TAR;INGRESSOS_TOTAL;INGRESSOS_CRITIC;INGRESSATS_TOTAL;INGRESSATS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-28;Altres;N/A;--;5;16;0;0;0;59;14;0;3;2;2;0;16;0;84;96
CATALUNYA;GLOBAL;2021-09-28;Dona;0 a 9;No;9;87;442;0;0;2;0;0;3;6;4;6;80;403;0;0
CATALUNYA;GLOBAL;2021-09-28;Dona;0 a 9;Si;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2021-09-28;Dona;10 a 19;No;10;79;680;0;0;1;0;0;2;8;2;4;61;573;413;1277
CATALUNYA;GLOBAL;2021-09-28;Dona;10 a 19;Si;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
CATALUNYA;GLOBAL;2021-09-28;Dona;20 a 29;No;6;239;371;0;0;5;0;0;1;5;1;2;169;300;529;540
CATALUNYA;GLOBAL;2021-09-28;Dona;20 a 29;Si;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2021-09-28;Dona;30 a 39;No;17;295;411;0;1;8;2;0;0;17;0;16;240;370;306;532
CATALUNYA;GLOBAL;2021-09-28;Dona;30 a 39;Si;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
CATALUNYA;GLOBAL;2021-09-28;Dona;40 a 49;No;13;352;409;0;0;19;7;0;0;13;0;10;274;354;174;213
CATALUNYA;GLOBAL;2021-09-28;Dona;40 a 49;Si;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2021-09-28;Dona;50 a 59;No;15;312;247;0;0;21;6;0;2;13;2;9;261;221;92;91
CATALUNYA;GLOBAL;2021-09-28;Dona;50 a 59;Si;0;4;2;0;0;0;0;0;0;0;0;0;3;2;0;1
CATALUNYA;GLOBAL;2021-09-28;Dona;60 a 69;No;8;179;187;0;0;40;14;0;2;6;2;3;148;168;52;108
CATALUNYA;GLOBAL;2021-09-28;Dona;60 a 69;Si;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0
CATALUNYA;GLOBAL;2021-09-28;Dona;70 a 79;No;3;159;120;0;0;23;4;0;0;3;1;2;138;106;13;16
